val0,val1,val2,val3,val4,val5,val6,val7,val8,val9,val10,val11,val12,val13,val14,val15,val16,val17,val18,val19,val20,val21,val22,val23,val24,val25,val26,val27,val28,val29,val30,val31,val32,val33,val34,val35,val36,val37,val38,val39,val40,val41,val42,val43,val44,val45,val46,val47,val48,val49,val50,val51,val52,val53,val54,val55,val56,val57,val58,val59,val60,val61,val62,val63,val64,val65,val66,val67,val68,val69,val70,val71,val72,val73,val74,val75,val76,val77,val78,val79,val80,val81,val82,val83,val84,val85,val86,val87,val88,val89,val90,val91,val92,val93,val94,val95,val96,val97,val98,val99
1,0.755708,0.551799,0.347442,0.23066,0.113692,0.0698477,0.0259498,0.0162001,0.00644087,0.0054655,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.00448934,0.0054655,0.00644087,0.0162001,0.0259498,0.0698477,0.113692,0.23066,0.347442,0.551799,0.755708,1
1,0.776308,0.551983,0.391637,0.230975,0.150662,0.0702291,0.043432,0.0166035,0.0112409,0.00587322,0.00538554,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00489746,0.00538554,0.00587322,0.0112409,0.0166035,0.043432,0.0702291,0.150662,0.230975,0.391637,0.551983,0.776308,1
1,0.7764,0.584381,0.391887,0.271558,0.15101,0.097455,0.0438244,0.0277446,0.0116465,0.00872136,0.00579346,0.00554962,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00530558,0.00554962,0.00579346,0.00872136,0.0116465,0.0277446,0.0438244,0.097455,0.15101,0.271558,0.391887,0.584381,0.7764,1
1,0.792598,0.584552,0.428377,0.271857,0.184915,0.0978255,0.0630079,0.0281436,0.0186411,0.00912808,0.00754361,0.00595764,0.00583572,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.0057137,0.00583572,0.00595764,0.00754361,0.00912808,0.0186411,0.0281436,0.0630079,0.0978255,0.184915,0.271857,0.428377,0.584552,0.792598,1
1,0.792684,0.610896,0.428612,0.307054,0.185249,0.124369,0.0633926,0.0412326,0.0190439,0.0135005,0.00795099,0.00709779,0.00624379,0.00618283,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00612182,0.00618283,0.00624379,0.00709779,0.00795099,0.0135005,0.0190439,0.0412326,0.0633926,0.124369,0.185249,0.307054,0.428612,0.610896,0.792684,1
1,0.805856,0.611056,0.459383,0.307339,0.21612,0.124729,0.0832091,0.0416264,0.0277747,0.0139056,0.0107073,0.00750551,0.00704843,0.00659093,0.00656045,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00652995,0.00656045,0.00659093,0.00704843,0.00750551,0.0107073,0.0139056,0.0277747,0.0416264,0.0832091,0.124729,0.21612,0.307339,0.459383,0.611056,0.805856,1
1,0.805936,0.633028,0.459606,0.33816,0.216442,0.150073,0.0835859,0.0559,0.0281741,0.0196491,0.0111137,0.00928597,0.00745634,0.00721256,0.00696856,0.00695332,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00693807,0.00695332,0.00696856,0.00721256,0.00745634,0.00928597,0.0111137,0.0196491,0.0281741,0.0559,0.0835859,0.150073,0.216442,0.33816,0.459606,0.633028,0.805936,1
1,0.816922,0.633179,0.486002,0.338432,0.244524,0.150422,0.103394,0.0562881,0.0381827,0.020052,0.0148756,0.00969313,0.00865739,0.00762057,0.00749106,0.00736144,0.00735382,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00734619,0.00735382,0.00736144,0.00749106,0.00762057,0.00865739,0.00969313,0.0148756,0.020052,0.0381827,0.0562881,0.103394,0.150422,0.244524,0.338432,0.486002,0.633179,0.816922,1
1,0.816998,0.65187,0.486214,0.365671,0.244835,0.174367,0.103763,0.0711967,0.0385782,0.0269373,0.0152807,0.0121746,0.00906497,0.00848235,0.00789913,0.00783056,0.00776193,0.00775812,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775431,0.00775812,0.00776193,0.00783056,0.00789913,0.00848235,0.00906497,0.0121746,0.0152807,0.0269373,0.0385782,0.0711967,0.103763,0.174367,0.244835,0.365671,0.486214,0.65187,0.816998,1
1,0.826343,0.652014,0.509179,0.365933,0.270427,0.174707,0.12319,0.0715788,0.0494751,0.0273376,0.0199641,0.012581,0.0107366,0.00889017,0.00856458,0.00823865,0.00820246,0.00816624,0.00816434,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816243,0.00816434,0.00816624,0.00820246,0.00823865,0.00856458,0.00889017,0.0107366,0.012581,0.0199641,0.0273376,0.0494751,0.0715788,0.12319,0.174707,0.270427,0.365933,0.509179,0.652014,0.826343,1
